Ticker,Name,RS,1wk:end max,1mo:1wk max,3mo:1mo max,6mo:3mo max,9mo:6mo max,Rating (RS),Rating (3M:1M),Rating (6M:3M),Rating (9M:6M),Price,52W pos,MA50,MA200,Volume / VMA50
3189,景碩,108.67,111.03,112.94,109.92,90.18,97.24,83,77,25,40,112.5,0.53,107.93,101.26,0.99
1439,雋揚,108.67,109.22,109.27,109.04,100.72,98.34,83,76,60,45,30.8,0.69,32.32,28.45,0.16
3715,定穎投控,108.62,108.62,105.21,97.38,78.04,97.95,83,49,2,43,71.4,0.39,68.19,68.91,0.87
6287,元隆,108.61,113.7,114.84,112.18,86.98,107.95,83,79,12,75,13.75,0.32,14.76,14.65,0.31
8104,錸寶,108.6,110.81,118.2,118.71,108.28,96.48,83,85,73,36,46.6,0.57,43.03,38.3,0.35
6207,雷科,108.58,108.58,109.69,139.71,162.07,128.88,83,93,97,93,72.1,0.76,72.32,59.44,0.39
3003,健和興,108.55,110.4,110.97,109.66,95.98,95.56,83,76,46,31,76.3,0.3,87.57,77.25,0.38
3631,晟楠,108.54,108.54,107.85,106.12,119.45,108.26,83,72,85,76,43.8,0.72,45.39,40.91,0.32
6510,精測,108.52,108.52,106.58,98.68,83.79,101.36,83,54,5,58,538.0,0.72,515.59,497.13,0.41
3349,寶德,108.51,109.76,109.6,106.97,115.81,123.08,83,73,82,90,25.6,0.6,26.32,24.7,0.87
9955,佳龍,108.48,111.07,114.4,114.05,119.58,98.16,83,81,85,44,33.45,0.66,35.95,31.15,0.26
1309,台達化,108.41,110.44,111.76,109.37,95.14,91.2,83,76,43,9,18.95,0.59,18.57,16.93,0.46
4933,友輝,108.34,109.74,111.0,109.31,98.27,103.23,83,76,53,65,68.7,0.66,70.17,63.94,1.07
00637L,元大滬深300正2,108.34,108.34,105.64,93.01,104.38,97.48,83,29,67,41,16.41,0.5,14.3,13.31,0.9
5907,大洋-KY,108.31,108.31,103.66,91.17,85.81,92.04,82,21,9,12,11.9,0.64,10.0,9.87,1.12
4760,勤凱,108.29,109.48,110.05,149.08,156.17,99.84,82,95,96,52,128.5,0.68,129.92,107.65,0.27
2915,潤泰全,108.22,110.89,113.29,113.01,103.07,100.07,82,80,65,53,77.2,0.81,77.9,68.66,0.65
4303,信立,108.12,108.83,108.72,106.39,198.23,184.46,82,72,98,98,47.4,0.62,47.2,43.27,0.38
00633L,富邦上証正2,108.11,108.11,105.4,92.4,103.62,97.08,82,26,66,39,40.89,0.5,35.64,33.28,0.96
6698,旭暉應材,108.11,109.66,119.81,119.9,107.39,109.0,82,86,72,77,41.6,0.47,42.82,38.23,0.2
6913,鴻呈,108.08,109.87,121.68,133.85,130.87,95.0,82,91,90,28,135.0,0.94,121.9,101.69,3.71
2425,承啟,107.98,107.98,105.02,93.93,83.73,97.22,82,34,5,39,42.3,0.58,40.65,40.81,0.33
00655L,國泰中國A50正2,107.94,107.94,105.17,91.59,102.51,96.24,82,23,64,35,27.87,0.49,24.29,22.8,0.94
2015,豐興,107.93,108.71,108.71,107.28,94.26,98.54,82,73,40,45,84.0,0.9,83.2,74.89,0.36
00714,群益道瓊美國地產,107.91,108.81,108.81,106.17,90.67,104.84,82,72,28,69,22.1,0.91,22.01,20.19,0.44
2330,台積電,107.9,107.93,108.81,110.92,114.09,114.01,82,78,80,83,1050.0,0.94,981.22,847.82,1.15
2929,淘帝-KY,107.8,107.8,103.62,89.82,82.32,99.16,82,16,4,49,12.05,0.66,10.13,10.1,0.8
3593,力銘,107.8,114.56,127.93,131.02,112.27,93.61,82,91,78,20,14.0,0.34,14.88,13.23,0.32
6603,富強鑫,107.79,109.45,112.99,112.53,97.18,95.9,82,79,50,33,19.45,0.55,19.64,17.71,0.48
8401,白紗科,107.75,107.75,107.27,104.82,108.86,101.11,82,69,74,58,27.2,0.76,27.19,23.98,0.28
00700,富邦恒生國企,107.73,107.73,105.87,97.82,101.24,90.01,82,51,61,7,15.2,0.68,13.7,12.4,0.92
6588,東典光電,107.69,108.09,107.34,101.13,99.33,105.09,82,61,56,70,39.85,0.88,36.81,35.28,1.16
6605,帝寶,107.53,110.63,113.77,116.5,123.5,114.58,82,83,87,84,243.0,0.78,249.8,214.18,0.42
3705,永信,107.49,107.79,107.59,103.72,96.94,97.05,82,67,49,39,57.0,0.69,57.7,51.93,0.27
9105,泰金寶-DR,107.48,109.82,121.39,145.3,133.24,115.87,82,94,91,85,6.02,0.73,5.51,4.67,1.58
4153,鈺緯,107.4,109.94,113.79,115.45,101.74,100.51,81,83,62,55,42.45,0.45,46.84,41.78,0.53
2883,開發金,107.37,107.77,107.84,107.27,100.0,100.19,81,73,58,54,16.9,0.87,16.43,14.59,0.69
6582,申豐,107.35,109.25,114.91,115.0,101.1,102.97,81,82,61,64,60.5,0.49,62.37,56.01,0.52
2069,運錩,107.34,107.44,107.42,102.0,89.49,98.89,81,64,22,48,16.9,0.4,17.95,16.76,0.34
8091,翔名,107.33,108.28,112.26,113.86,115.1,113.98,81,81,81,83,145.5,0.69,151.11,130.89,0.37
4536,拓凱,107.3,107.3,105.3,101.56,96.23,100.55,81,63,46,56,228.0,1.0,215.71,197.31,1.36
6655,科定,107.29,108.39,108.8,108.04,92.41,87.94,81,74,33,4,131.0,0.5,139.48,126.02,0.04
2393,億光,107.29,108.21,111.23,118.85,120.89,102.42,81,85,86,63,84.2,1.0,79.09,66.95,2.22
